headlines,headline_text
"['restricted', 'functioning', 'of', 'delhi', 'high', 'court', 'to', 'continue', 'till', 'november', '30']",restricted functioning of delhi high court to continue till november 30
"['clear', 'demand', 'gap', 'for', 'luxury', 'electric', 'car', 'in', 'india', 'mercedes', 'benz']",clear demand gap for luxury electric car in india mercedes benz
"['no', 'change', 'in', 'iron', 'ore', 'pellets', 'export', 'policy', 'final', 'legal', 'opinion', 'under', 'consideration', 'centre']",no change in iron ore pellets export policy final legal opinion under consideration centre
"['17', '22', 'lakh', 'indians', 'have', 'returned', 'from', 'abroad', 'under', 'vande', 'bharat', 'mission', 'mea']",17 22 lakh indians have returned from abroad under vande bharat mission mea
"['union', 'minister', 'ram', 'vilas', 'paswan', 'dies', 'at', '74']",union minister ram vilas paswan dies at 74
"['the', 'newest', 'thing', 'you', 'can', 'subscribe', 'to', 'cars']",the newest thing you can subscribe to cars
"['people', 'are', 'not', 'taking', 'long', 'term', 'bets', 'in', 'bonds', 'heres', 'why']",people are not taking long term bets in bonds heres why
"['gold', 'firms', 'on', 'weaker', 'dollar', 'us', 'stimulus', 'hopes']",gold firms on weaker dollar us stimulus hopes
"['world', 'trade', 'organization', 'to', 'be', 'led', 'by', 'a', 'woman', 'for', 'first', 'time']",world trade organization to be led by a woman for first time
"['5paisa', 'capital', 'q2', 'results', 'posts', 'net', 'profit', 'of', 'rs', '2', '67', 'cr']",5paisa capital q2 results posts net profit of rs 2 67 cr
"['uday', 'shankar', 'quits', 'as', 'star', 'disney', 'india', 'chairman']",uday shankar quits as star disney india chairman
"['opec', 'in', 'major', 'shift', 'says', 'oil', 'demand', 'to', 'plateau', 'in', 'late', '2030s']",opec in major shift says oil demand to plateau in late 2030s
"['congress', 'deplores', 'new', 'hathras', 'narrative', 'promises', 'action', 'on', 'chhattisgarh', 'rape', 'issue']",congress deplores new hathras narrative promises action on chhattisgarh rape issue
"['hathras', 'accused', 'claim', 'they', 'are', 'being', 'framed', 'say', 'victims', 'family', 'responsible', 'for', 'her', 'death']",hathras accused claim they are being framed say victims family responsible for her death
"['national', 'investigation', 'agency', 'arrests', 'two', 'in', 'connection', 'with', 'bengaluru', 'based', 'isis', 'module']",national investigation agency arrests two in connection with bengaluru based isis module
"['donald', 'trump', 'launches', 'rare', 'attack', 'on', 'loyal', 'aides', 'mike', 'pompeo', 'bill', 'barr']",donald trump launches rare attack on loyal aides mike pompeo bill barr
"['high', 'court', 'orders', 'des', 'to', 'furnish', 'details', 'of', 'the', 'alleged', 'adverse', 'impact', 'of', 'ysr', 'govts', 'decision', 'to', 'trifurcate', 'capitals']",high court orders des to furnish details of the alleged adverse impact of ysr govts decision to trifurcate capitals
"['before', 'quitting', 'nda', 'in', 'bihar', 'chirag', 'paswan', 'told', 'bjp', 'of', 'wave', 'against', 'nitish', 'kumar']",before quitting nda in bihar chirag paswan told bjp of wave against nitish kumar
"['amazon', 'infuses', 'rs', '700', 'crore', 'into', 'its', 'india', 'digital', 'payments', 'business', 'ahead', 'of', 'festival', 'season']",amazon infuses rs 700 crore into its india digital payments business ahead of festival season
"['ahead', 'of', 'market', '12', 'things', 'that', 'will', 'decide', 'stock', 'action', 'on', 'friday']",ahead of market 12 things that will decide stock action on friday
"['gourmet', 'garden', 'raises', 'capital', 'from', 'incubate', 'fund', 'india', 'whiteboard', 'capital']",gourmet garden raises capital from incubate fund india whiteboard capital
"['goas', 'latambarcem', 'brewers', 'launches', 'bottled', 'craft', 'beer', 'to', 'cash', 'in', 'on', 'the', 'maturing', 'bespoke', 'beer', 'market']",goas latambarcem brewers launches bottled craft beer to cash in on the maturing bespoke beer market
"['lse', 'expected', 'to', 'approve', 'borsa', 'sale', 'to', 'euronext', 'on', 'thursday', 'sources']",lse expected to approve borsa sale to euronext on thursday sources
"['ibm', 'to', 'spin', 'off', '19', 'billion', 'business', 'to', 'focus', 'on', 'cloud', 'computing']",ibm to spin off 19 billion business to focus on cloud computing
"['assam', 'initiates', 'atmanirbhar', 'asom', 'scheme', 'aiming', 'to', 'empower', 'economically', 'disadvantaged', 'women']",assam initiates atmanirbhar asom scheme aiming to empower economically disadvantaged women
"['uk', 'lawmakers', 'warn', 'huawei', '5g', 'may', 'need', 'to', 'be', 'banned', 'earlier']",uk lawmakers warn huawei 5g may need to be banned earlier
"['economy', 'showing', 'signs', 'of', 'improvement', 'assocham']",economy showing signs of improvement assocham
"['maintain', 'updated', 'contact', 'info', 'of', 'designated', 'employees', 'for', '1', 'yr', 'after', 'resignation', 'sebi', 'to', 'cos']",maintain updated contact info of designated employees for 1 yr after resignation sebi to cos
"['activists', 'protest', 'at', 'adani', 'minings', 'australia', 'site', 'against', 'water', 'plan']",activists protest at adani minings australia site against water plan
"['oil', 'rises', 'above', '43', 'on', 'supply', 'losses', 'us', 'stimulus', 'hopes']",oil rises above 43 on supply losses us stimulus hopes
"['stanton', 'chase', 'india', 'expands', 'operations', 'in', 'singapore']",stanton chase india expands operations in singapore
"['5g', 'rollout', 'india', 'yet', 'to', 'take', 'final', 'call', 'on', 'allowing', 'chinese', 'vendors', 'says', 'niti', 'aayog', 'ceo']",5g rollout india yet to take final call on allowing chinese vendors says niti aayog ceo
"['india', 'says', 'pakistan', 'must', 'address', 'core', 'issues', 'in', 'kulbhushan', 'jadhav', 'case']",india says pakistan must address core issues in kulbhushan jadhav case
"['nclt', 'directs', 'rp', 'of', 'hdil', 'to', 'provide', 'all', 'the', 'documents', 'to', 'wadhawans', 'in', 'arthur', 'road', 'jail']",nclt directs rp of hdil to provide all the documents to wadhawans in arthur road jail
"['nse', 'bse', 'bulk', 'deals', 'ascent', 'india', 'fund', 'cuts', 'stake', 'in', 'solara', 'active', 'pharma']",nse bse bulk deals ascent india fund cuts stake in solara active pharma
"['president', 'trump', 'attacks', 'democratic', 'vp', 'nominee', 'kamala', 'harris', 'calls', 'her', 'a', 'monster']",president trump attacks democratic vp nominee kamala harris calls her a monster
"['no', 'major', 'adverse', 'side', 'effects', 'reported', 'so', 'far', 'in', 'vaccine', 'trial', 'at', 'pgi', 'chandigarh']",no major adverse side effects reported so far in vaccine trial at pgi chandigarh
"['dollar', 'higher', 'as', 'markets', 'wait', 'on', 'stimulus', 'news']",dollar higher as markets wait on stimulus news
"['u', 's', 'weekly', 'jobless', 'claims', 'inch', 'lower', 'but', 'remain', 'stubbornly', 'high']",u s weekly jobless claims inch lower but remain stubbornly high
"['tourism', 'going', 'to', 'be', 'next', 'growth', 'driver', 'for', 'india', 'faith']",tourism going to be next growth driver for india faith
"['the', 'covid', 'crisis', 'exposed', 'what', 'financial', 'reformers', 'missed', 'bill', 'dudley']",the covid crisis exposed what financial reformers missed bill dudley
"['payout', 'blues', 'telcos', 'expected', 'to', 'speed', 'dial', 'arpu', 'improvement', 'raise', 'tariffs', 'says', 'icra']",payout blues telcos expected to speed dial arpu improvement raise tariffs says icra
"['london', 'based', 'kalrock', 'capital', 'says', 'it', 'has', 'won', 'the', 'bid', 'for', 'jet', 'airways']",london based kalrock capital says it has won the bid for jet airways
"['biocon', 'foundation', 'to', 'fund', 'rs', '65', 'crore', 'for', 'hebbagodi', 'metro', 'station']",biocon foundation to fund rs 65 crore for hebbagodi metro station
"['central', 'railway', 'to', 'run', 'eight', 'more', 'special', 'trains', 'in', 'maharashtra']",central railway to run eight more special trains in maharashtra
"['trade', 'setup', 'nifty', 'showing', 'fatigue', 'sign', 'avoid', 'aggressive', 'bets']",trade setup nifty showing fatigue sign avoid aggressive bets
"['ant', 'group', 'faces', 'us', 'headwinds', 'in', 'race', 'to', 'ipo', 'before', 'trump', 'vote']",ant group faces us headwinds in race to ipo before trump vote
"['one', 'third', 'of', 'vulnerable', 'medium', 'emerging', 'companies', 'may', 'not', 'get', 'restructuring', 'benefits', 'ind', 'ra']",one third of vulnerable medium emerging companies may not get restructuring benefits ind ra
"['reits', 'invits', 'can', 'hold', 'unitholders', 'meeting', 'via', 'video', 'conferencing', 'till', 'dec', 'sebi']",reits invits can hold unitholders meeting via video conferencing till dec sebi
"['two', 'suspected', 'members', 'of', 'isis', 'held', 'in', 'bengaluru', 'by', 'national', 'investigation', 'agency']",two suspected members of isis held in bengaluru by national investigation agency
"['taliban', 'welcome', 'trump', 'tweet', 'promising', 'early', 'troop', 'withdrawal']",taliban welcome trump tweet promising early troop withdrawal
"['loan', 'default', 'case', 'cbi', 'books', 'ysrcp', 'mp', 'ramakrishna', 'raju']",loan default case cbi books ysrcp mp ramakrishna raju
"['sebi', 'tightens', 'inter', 'scheme', 'transfer', 'norms', 'for', 'mutual', 'funds']",sebi tightens inter scheme transfer norms for mutual funds
"['centre', 'extends', 'ltc', 'facility', 'by', 'two', 'years', 'for', 'employees', 'to', 'visit', 'jammu', 'kashmir', 'northeast']",centre extends ltc facility by two years for employees to visit jammu kashmir northeast
"['southern', 'residential', 'and', 'commercial', 'market', 'lead', 'the', 'recovery', 'in', 'the', 'indian', 'real', 'estate', 'sector']",southern residential and commercial market lead the recovery in the indian real estate sector
"['a', 'storm', 'in', 'a', 'tea', 'cup', 'bala', 'sarda', 'of', 'vahdam', 'is', 'brewing', 'a', 'new', 'heady', 'mix', 'with', 'some', 'vocalforlocal', 'help']",a storm in a tea cup bala sarda of vahdam is brewing a new heady mix with some vocalforlocal help
"['wonderla', 'holidays', 'elevates', 'arun', 'chittillappilly', 'as', 'md', 'to', 'digitise', 'biz', 'in', 'wake', 'of', 'the', 'pandemic']",wonderla holidays elevates arun chittillappilly as md to digitise biz in wake of the pandemic
"['indias', 'lakshmi', 'vilas', 'bank', 'gets', 'non', 'binding', 'offer', 'from', 'clix', 'group']",indias lakshmi vilas bank gets non binding offer from clix group
"['rbi', 'mpc', 'policy', 'review', 'governors', 'address', 'at', '10', 'am', 'tomorrow']",rbi mpc policy review governors address at 10 am tomorrow
"['people', 'who', 'launch', 'cyber', 'attacks', 'shouldnt', 'find', 'it', 'tough', 'to', 'fight', 'china', 'says', 'shiv', 'sena']",people who launch cyber attacks shouldnt find it tough to fight china says shiv sena
"['ravi', 'shastri', 'turns', 'entrepreneur', 'with', 'new', 'venture', '23', 'yards']",ravi shastri turns entrepreneur with new venture 23 yards
"['second', 'trump', 'biden', 'debate', 'to', 'be', 'virtual', 'due', 'to', 'donald', 'trumps', 'covid', '19']",second trump biden debate to be virtual due to donald trumps covid 19
"['airlines', 'may', 'soon', 'be', 'permitted', 'to', 'operate', '75', 'of', 'pre', 'covid', 'domestic', 'flights']",airlines may soon be permitted to operate 75 of pre covid domestic flights
"['centre', 'allows', 'political', 'gatherings', 'in', 'bihar', 'bypoll', 'constituencies', 'with', 'conditions']",centre allows political gatherings in bihar bypoll constituencies with conditions
"['gold', 'prices', 'today', 'slip', 'below', 'rs', '50000', 'heres', 'why']",gold prices today slip below rs 50000 heres why
"['nabard', 'to', 'offer', '18', 'months', 'refinance', 'to', 'smaller', 'nbfc', 'mfis', 'under', 'special', 'liquidity', 'scheme']",nabard to offer 18 months refinance to smaller nbfc mfis under special liquidity scheme
"['troubled', 'lakshmi', 'vilas', 'bank', 'receives', 'indicative', 'non', 'binding', 'offer', 'from', 'clix', 'group']",troubled lakshmi vilas bank receives indicative non binding offer from clix group
"['hold', 'on', 'to', 'your', 'emotions', 'men', 'are', 'not', 'expressive', 'in', 'their', 'friendships', 'says', 'new', 'survey']",hold on to your emotions men are not expressive in their friendships says new survey
"['literature', 'nobel', 'awarded', 'to', 'american', 'poet', 'louise', 'glck']",literature nobel awarded to american poet louise glck
"['gold', 'futures', 'gain', 'on', 'spot', 'demand']",gold futures gain on spot demand
"['auto', 'component', 'makers', 'likely', 'to', 'remain', 'subdued', 'in', 'september', 'quarter', 'icra']",auto component makers likely to remain subdued in september quarter icra
"['how', 'the', 'next', 'wto', 'chief', 'will', 'be', 'chosen', 'and', 'the', 'task', 'ahead']",how the next wto chief will be chosen and the task ahead
"['us', 'negotiator', 'zalmay', 'khalilzad', 'hopeful', 'for', 'afghanistan', 'pakistan', 'side', 'agreement']",us negotiator zalmay khalilzad hopeful for afghanistan pakistan side agreement
"['chinese', 'army', 'will', 'be', 'using', 'thermal', 'shelters', 'to', 'fend', 'off', 'the', 'sub', 'zero', 'temperatures', 'along', 'the', 'india', 'china', 'border', 'this', 'winter']",chinese army will be using thermal shelters to fend off the sub zero temperatures along the india china border this winter
"['indians', 'are', 'struggling', 'with', 'stress', 'and', 'anxiety', 'every', 'two', 'in', 'five', 'professionals', 'are', 'in', 'distress']",indians are struggling with stress and anxiety every two in five professionals are in distress
"['panasonic', 'to', 'produce', 'for', 'two', 'other', 'brands', 'in', 'its', 'india', 'factory']",panasonic to produce for two other brands in its india factory
"['mahindras', 'electric', '3', 'wheeler', 'range', 'treo', 'crosses', '5000', 'units', 'sales', 'mark']",mahindras electric 3 wheeler range treo crosses 5000 units sales mark
"['who', 'awaits', 'chinas', 'nod', 'on', 'list', 'of', 'experts', 'to', 'probe', 'origin', 'of', 'coronavirus']",who awaits chinas nod on list of experts to probe origin of coronavirus
"['silver', 'futures', 'up', 'on', 'spot', 'demand']",silver futures up on spot demand
"['700', 'year', 'old', 'chinese', 'scroll', 'from', 'yuan', 'dynasty', 'sells', 'at', '41', '8mn', 'at', 'hong', 'kong', 'auction']",700 year old chinese scroll from yuan dynasty sells at 41 8mn at hong kong auction
"['baba', 'ka', 'dhaba', 'elderly', 'couple', 'in', 'delhis', 'malviya', 'nagar', 'say', 'their', 'lives', 'changed', 'overnight', 'after', 'their', 'story', 'went', 'viral']",baba ka dhaba elderly couple in delhis malviya nagar say their lives changed overnight after their story went viral
"['ntpc', 'incorporates', 'subsidiary', 'for', 'renewable', 'energy', 'business']",ntpc incorporates subsidiary for renewable energy business
"['gold', 'rises', 'rs', '82', 'silver', 'jumps', 'rs', '1074']",gold rises rs 82 silver jumps rs 1074
"['market', 'movers', 'it', 'on', 'a', 'roll', 'ril', 'misses', 'the', 'party', '39', 'stocks', 'turn', 'overbought']",market movers it on a roll ril misses the party 39 stocks turn overbought
"['designer', 'suneet', 'verma', 'dresses', 'for', 'comfort', 'believes', 'clothes', 'can', 'elevate', 'the', 'mood']",designer suneet verma dresses for comfort believes clothes can elevate the mood
"['no', 'democracy', 'left', 'in', 'west', 'bengal', 'mamata', 'banerjee', 'losing', 'peoples', 'confidence', 'says', 'bjp']",no democracy left in west bengal mamata banerjee losing peoples confidence says bjp
"['two', 'is', 'beatles', 'charged', 'in', 'united', 'states', 'for', 'roles', 'in', 'murders', 'of', 'american', 'hostages']",two is beatles charged in united states for roles in murders of american hostages
"['robert', 'lewandowski', 'named', 'europes', 'footballer', 'of', 'the', 'year', '2019', '20', 'will', 'speak', 'at', 'the', 'business', 'insider', 'global', 'trends', 'festival']",robert lewandowski named europes footballer of the year 2019 20 will speak at the business insider global trends festival
"['mercedes', 'benz', 'launches', 'electric', 'suv', 'eqc', 'at', 'introductory', 'price', 'of', 'rs', '99', '3', 'lakh']",mercedes benz launches electric suv eqc at introductory price of rs 99 3 lakh
"['tata', 'technologies', 'gkn', 'automotive', 'set', 'up', 'global', 'e', 'mobility', 'software', 'engineering', 'centre', 'in', 'bengaluru']",tata technologies gkn automotive set up global e mobility software engineering centre in bengaluru
"['hiring', 'investments', 'to', 'make', 'gradual', 'return', 'after', 'sweeping', 'reforms', 'for', 'restaurant', 'sector']",hiring investments to make gradual return after sweeping reforms for restaurant sector
"['amit', 'shah', 'appeals', 'to', 'everyone', 'to', 'follow', 'pms', 'public', 'movement', 'against', 'covid', '19']",amit shah appeals to everyone to follow pms public movement against covid 19
"['sebi', 'inducts', '3', 'new', 'members', 'into', 'technical', 'group', 'on', 'social', 'stock', 'exchange']",sebi inducts 3 new members into technical group on social stock exchange
"['government', 'begins', 'mapping', 'cold', 'chain', 'storage', 'facilities', 'to', 'ensure', 'the', 'vaccine', 'delivery']",government begins mapping cold chain storage facilities to ensure the vaccine delivery
"['majesco', 'board', 'gives', 'nod', 'to', 'rs', '631', 'crore', 'share', 'buyback', 'plan']",majesco board gives nod to rs 631 crore share buyback plan
"['crypto', 'exchange', 'unocoin', 'raises', 'usd', '3', '6', 'mn', 'from', 'draper', 'associates', 'others']",crypto exchange unocoin raises usd 3 6 mn from draper associates others
"['basmati', 'rice', 'exporters', 'from', 'india', 'are', 'renegotiating', 'with', 'importers', 'from', 'australia', 'canada', 'the', 'us', 'and', 'western', 'europe']",basmati rice exporters from india are renegotiating with importers from australia canada the us and western europe
"['power', 'consumption', 'shows', 'double', 'digit', 'growth', 'during', 'october', 'first', 'week', 'as', 'demand', 'rises']",power consumption shows double digit growth during october first week as demand rises
"['donald', 'trump', 'says', 'he', 'will', 'not', 'participate', 'in', 'a', 'virtual', 'debate', 'with', 'joe', 'biden']",donald trump says he will not participate in a virtual debate with joe biden
"['azerbaijan', 'ethnic', 'armenians', 'clash', 'as', 'russia', 'us', 'and', 'france', 'seek', 'nagorno', 'karabakh', 'ceasefire']",azerbaijan ethnic armenians clash as russia us and france seek nagorno karabakh ceasefire
"['many', 'powerful', 'reasons', 'as', 'to', 'why', 'its', 'risky', 'to', 'permit', 'huawei', 'in', 'india', 'ex', 'raw', 'boss', 'vikram', 'sood']",many powerful reasons as to why its risky to permit huawei in india ex raw boss vikram sood
"['why', 'one', 'could', 'be', 'buyers', 'in', 'frontline', 'midcap', 'it', 'stocks', 'now']",why one could be buyers in frontline midcap it stocks now
"['tcs', 'to', 'roll', 'out', 'salary', 'hikes', 'to', 'over', '4', '5', 'lakh', 'people', 'in', 'october', 'hired', 'over', '9k', 'people', 'in', 'q2']",tcs to roll out salary hikes to over 4 5 lakh people in october hired over 9k people in q2
"['banks', 'sanction', 'rs', '1', '87', 'lakh', 'cr', 'to', '50', '7', 'lakh', 'msmes', 'under', 'credit', 'guarantee', 'scheme']",banks sanction rs 1 87 lakh cr to 50 7 lakh msmes under credit guarantee scheme
"['nabventures', 'omnivore', 'invest', 'in', 'soil', 'tech', 'platform', 'krishitantra']",nabventures omnivore invest in soil tech platform krishitantra
"['mizoram', 'emerges', 'as', 'major', 'drug', 'trafficking', 'route', 'from', 'myanmar']",mizoram emerges as major drug trafficking route from myanmar
"['this', 'pre', 'covid', 'warhorse', 'is', 'losing', 'charm', 'on', 'd', 'street']",this pre covid warhorse is losing charm on d street
"['treebo', 'raises', '6', 'million', 'from', 'existing', 'investors', 'to', 'strengthen', 'defences', 'against', 'pandemic']",treebo raises 6 million from existing investors to strengthen defences against pandemic
"['stay', 'indoor', 'long', 'term', 'exposure', 'to', 'air', 'pollution', 'can', 'make', 'coronavirus', 'more', 'deadly']",stay indoor long term exposure to air pollution can make coronavirus more deadly
"['kuwaits', 'new', 'crown', 'prince', 'pledges', 'commitment', 'to', 'democracy', 'and', 'peace']",kuwaits new crown prince pledges commitment to democracy and peace
"['fo', 'nifty50', 'knocking', 'the', 'doors', 'of', 'lifetime', 'high', 'zone', 'vix', 'spike', 'a', 'worry']",fo nifty50 knocking the doors of lifetime high zone vix spike a worry
"['snapdeals', 'diwali', 'sale', 'kickstarts', 'on', 'october', '16']",snapdeals diwali sale kickstarts on october 16
"['why', 'it', 'may', 'not', 'be', 'time', 'yet', 'to', 'bet', 'on', 'urban', 'trends']",why it may not be time yet to bet on urban trends
"['ministry', 'of', 'highways', 'nearly', 'doubles', 'fund', 'allocation', 'for', 'highways', 'development', 'programme', 'in', 'north', 'east']",ministry of highways nearly doubles fund allocation for highways development programme in north east
"['dr', 'no', 'bikini', 'worn', 'by', 'ursula', 'andress', 'may', 'fetch', '500k', 'at', 'la', 'auction']",dr no bikini worn by ursula andress may fetch 500k at la auction
"['foreign', 'airlines', 'flights', 'will', 'not', 'be', 'allowed', 'at', 'expense', 'of', 'indian', 'airlines', 'aviation', 'minister']",foreign airlines flights will not be allowed at expense of indian airlines aviation minister
"['it', 'pharma', 'stocks', 'drive', 'sensex', 'above', '40k', 'wipro', 'top', 'nifty', 'gainer']",it pharma stocks drive sensex above 40k wipro top nifty gainer
"['moodys', 'revises', 'global', 'steel', 'industry', 'outlook', 'to', 'stable', 'from', 'negative']",moodys revises global steel industry outlook to stable from negative
"['maharashtra', 'chief', 'minister', 'uddhav', 'thackeray', 'to', 'campaign', 'in', 'bihar', 'for', 'sena', 'candidates']",maharashtra chief minister uddhav thackeray to campaign in bihar for sena candidates
"['handset', 'maker', 'utl', 'neolyncs', 'to', 'invest', 'rs', '100', 'crore', 'to', 'expand', 'production']",handset maker utl neolyncs to invest rs 100 crore to expand production
"['indias', 'defence', 'ministry', 'removes', 'three', 'years', 'worth', 'of', 'monthly', 'reports', 'from', 'website']",indias defence ministry removes three years worth of monthly reports from website
"['20', 'seen', 'falling', 'to', '13', '5', 'million', 'tonnes', 'amid', 'pandemic']",20 seen falling to 13 5 million tonnes amid pandemic
"['instagram', 'launches', 'campaign', 'to', 'highlight', 'business', 'impact', 'of', 'influencer', 'marketing']",instagram launches campaign to highlight business impact of influencer marketing
"['sunstone', 'eduversity', 'appoints', 'peoplestrongs', 'pankaj', 'bansal', 'to', 'advisory', 'board']",sunstone eduversity appoints peoplestrongs pankaj bansal to advisory board
"['hathras', 'victim', 'deserves', 'justice', 'not', 'slander', 'priyanka', 'gandhi']",hathras victim deserves justice not slander priyanka gandhi
"['violent', 'protests', 'erupt', 'in', 'kolkata', 'howrah', 'during', 'bjps', 'secretariat', 'march']",violent protests erupt in kolkata howrah during bjps secretariat march
"['equity', 'mf', 'continues', 'to', 'see', 'outflow', 'investors', 'withdraw', 'rs', '734', 'cr', 'in', 'sep']",equity mf continues to see outflow investors withdraw rs 734 cr in sep
"['indian', 'air', 'force', 'demonstrated', 'its', 'operational', 'capability', 'air', 'chief', 'marshal', 'bhadauria']",indian air force demonstrated its operational capability air chief marshal bhadauria
"['amazon', 'india', 'opens', 'new', 'specialised', 'fulfilment', 'centre']",amazon india opens new specialised fulfilment centre
"['nykaa', 'says', 'new', 'fashion', 'category', 'to', 'top', 'sales', 'of', 'rs', '500', 'crore']",nykaa says new fashion category to top sales of rs 500 crore
"['jurassic', 'world', 'dominion', 'halts', 'production', 'after', 'multiple', 'test', 'corona', 'positive']",jurassic world dominion halts production after multiple test corona positive
"['mg', 'motor', 'india', 'launches', 'premium', 'suv', 'gloster', 'at', 'rs', '28', '98', 'lakh']",mg motor india launches premium suv gloster at rs 28 98 lakh
"['china', 'tells', 'indian', 'media', 'not', 'to', 'call', 'taiwan', 'a', 'country', 'taiwan', 'says', 'get', 'lost']",china tells indian media not to call taiwan a country taiwan says get lost
"['kamala', 'harris', 'on', 'stage', 'for', 'debate', 'a', 'proud', 'moment', 'for', 'indian', 'americans', 'community', 'members']",kamala harris on stage for debate a proud moment for indian americans community members
"['aware', 'of', 'social', 'media', 'fake', 'news', 'dangers', 'rules', 'in', 'place', 'to', 'address', 'it', 'centre', 'tells', 'hc']",aware of social media fake news dangers rules in place to address it centre tells hc
"['gujarat', 'government', 'allows', 'private', 'labs', 'to', 'conduct', 'covid', '19', 'rapid', 'antibody', 'test']",gujarat government allows private labs to conduct covid 19 rapid antibody test
"['equity', 'mutual', 'fund', 'category', 'witness', 'net', 'outflow', 'in', 'september']",equity mutual fund category witness net outflow in september
"['covid', '19', 'puts', 'a', 'question', 'mark', 'on', 'the', 'future', 'of', 'sports', 'coaching', 'in', 'india']",covid 19 puts a question mark on the future of sports coaching in india
"['post', 'covid', 'how', 'stock', 'picking', 'changed', 'for', 'a', 'mutual', 'fund', 'investor']",post covid how stock picking changed for a mutual fund investor
"['centre', 'to', 'map', 'out', 'cold', 'chain', 'storage', 'facilities', 'in', 'preparation', 'for', 'covid', '19', 'vaccine', 'delivery']",centre to map out cold chain storage facilities in preparation for covid 19 vaccine delivery
"['true', 'potential', 'of', 'india', 'us', 'relations', 'yet', 'to', 'come', 'envoy']",true potential of india us relations yet to come envoy
"['rupee', 'settles', '9', 'paise', 'higher', 'at', '73', '24', 'against', 'us', 'dollar']",rupee settles 9 paise higher at 73 24 against us dollar
"['equity', 'mutual', 'funds', 'see', 'third', 'straight', 'month', 'of', 'outflows', 'debt', 'funds', 'also', 'feel', 'pressure']",equity mutual funds see third straight month of outflows debt funds also feel pressure
"['mangalore', 'refinery', 'and', 'petrochemicals', 'limited', 'receives', 'patent', 'for', 'process', 'distillation']",mangalore refinery and petrochemicals limited receives patent for process distillation
"['sc', 'sets', 'aside', 'hc', 'order', 'allowing', 'chinmayanand', 'to', 'get', 'copy', 'of', 'statement', 'of', 'rape', 'victim']",sc sets aside hc order allowing chinmayanand to get copy of statement of rape victim
"['completion', 'rates', 'for', 'projects', 'in', 'india', 'fall', 'to', 'precipitously', 'low', 'levels', 'data']",completion rates for projects in india fall to precipitously low levels data
"['skoda', 'digilab', 'partners', 'with', 'lumos', 'labs', 'microsoft', 'for', 'blockchain', 'solutions']",skoda digilab partners with lumos labs microsoft for blockchain solutions
"['infosys', 'to', 'acquire', 'us', 'based', 'data', 'analytics', 'company', 'for', '125', 'million', 'deal', 'expected', 'to', 'close', 'in', 'third', 'quarter']",infosys to acquire us based data analytics company for 125 million deal expected to close in third quarter
"['million', 'population', 'positivity', 'rate', 'at', '8', '19', 'govt']",million population positivity rate at 8 19 govt
